날짜,fold,dow,is_holiday,day_prod,after_prod_end_hours,n,MAE,RMSE,bias,p90_abs_error,under_rate,peak_rate,actual_mean,pred_mean
20210505,2021-05,3,1,2190.0,16,24,71.22869970362008,84.94303343065762,-69.51579805504802,118.88562518437458,0.16666666666666666,0.0,45.791666666666664,115.30746472171468
20210519,2021-05,3,1,2990.0,15,24,53.823172412274204,64.03377475013872,-53.721836129449514,86.65895589800817,0.041666666666666664,0.0,42.083333333333336,95.80516946278283
20210520,2021-05,4,0,15890.0,1,24,25.33652389501896,36.48738178646822,-23.850938306766476,69.01339766580853,0.25,0.041666666666666664,97.125,120.97593830676647
20210512,2021-05,3,0,20189.0,0,24,24.803174213510005,29.761991724599763,24.26308622203723,45.80544212982008,0.9166666666666666,0.041666666666666664,126.08333333333333,101.82024711129611
20210720,2021-07,2,0,23473.0,0,24,21.01926553179807,25.43071585138531,2.9395202709924586,41.21648377017922,0.5,0.3333333333333333,140.45833333333334,137.51881306234088
20210729,2021-07,4,0,25698.0,0,24,20.98974495183757,26.28444899997816,20.947108028868822,43.97561683568872,0.9583333333333334,0.2916666666666667,142.83333333333334,121.88622530446452
20210816,2021-08,1,1,10238.0,0,24,20.576471223966234,24.212182252635152,-19.355456476601162,37.25308027266917,0.16666666666666666,0.041666666666666664,91.54166666666667,110.89712314326783
20210722,2021-07,4,0,15801.0,0,24,19.70066254176108,27.179493308098216,13.022827929441448,49.03244713141502,0.625,0.20833333333333334,135.375,122.35217207055855
20210526,2021-05,3,0,19944.0,1,24,19.233489812476517,23.443346991068733,19.015751992076783,40.869810377736286,0.9583333333333334,0.0,119.58333333333333,100.56758134125657
20210517,2021-05,1,0,13391.0,0,24,13.95076832464315,16.319708115447934,-6.783669917707389,22.58789444432913,0.4166666666666667,0.041666666666666664,100.04166666666667,106.82533658437406
20210706,2021-07,2,0,16581.0,0,24,13.457644396451018,17.32986553364381,12.645764731750637,30.47548709062619,0.875,0.16666666666666666,133.08333333333334,120.4375686015827
