,기여도(%)
prod,19.9
lag_week_mean4,17.35
prod_next,9.83
day_prod,8.85
prod_cap,7.4
day_prod_hours,5.88
prod_prev,4.92
shift,4.43
lag336,3.75
is_off,3.66
lag168,2.68
month,2.31
thi,1.94
day_prod_zero,1.59
last_week_day_max,1.02
hour,0.78
prod_diff,0.78
last_week_day_mean,0.59
temp,0.46
humid,0.35
is_holiday,0.34
is_transition,0.3
cool,0.29
wind,0.17
days_since_off,0.1
rain,0.09
after_off,0.09
prod_log,0.07
dow,0.04
off_run_prev,0.03
prod_zero,0.02
is_weekend,0.0
