axis,condition,n,MAE,RMSE,bias,p90_abs_error,under_rate,peak_rate,actual_mean,pred_mean
fold,2021-05,336,17.82527798056112,32.503931944073614,-7.776351907758353,59.97563662627015,0.5327380952380952,0.01488095238095238,87.32440476190476,95.10075666966311
fold,2021-06,48,1.4203402581625806,1.7714702075104725,1.1778114714391459,3.2570994165278444,0.75,0.0,23.625,22.447188528560854
fold,2021-07,648,8.19440071599741,12.971125541552905,3.1221297668976877,21.283440012227533,0.5462962962962963,0.15895061728395063,98.20833333333333,95.08620356643564
fold,2021-08,725,6.498168759241976,9.393160506824007,-0.5450902743991043,14.784742896440322,0.42482758620689653,0.07862068965517241,83.29931034482759,83.84440061922669
fold,2021-09,335,5.394847020327943,7.37308689260387,0.9410107832578382,12.624501654057932,0.6029850746268657,0.07164179104477612,102.52537313432836,101.58436235107052
month,5월,336,17.82527798056112,32.503931944073614,-7.776351907758353,59.97563662627015,0.5327380952380952,0.01488095238095238,87.32440476190476,95.10075666966311
month,6월,48,1.4203402581625806,1.7714702075104725,1.1778114714391459,3.2570994165278444,0.75,0.0,23.625,22.447188528560854
month,7월,648,8.19440071599741,12.971125541552905,3.1221297668976877,21.283440012227533,0.5462962962962963,0.15895061728395063,98.20833333333333,95.08620356643564
month,8월,725,6.498168759241976,9.393160506824007,-0.5450902743991043,14.784742896440322,0.42482758620689653,0.07862068965517241,83.29931034482759,83.84440061922669
month,9월,335,5.394847020327943,7.37308689260387,0.9410107832578382,12.624501654057932,0.6029850746268657,0.07164179104477612,102.52537313432836,101.58436235107052
dow,금,288,7.395128050221228,10.039210363256439,0.9520591219841467,17.075678216877844,0.5069444444444444,0.125,121.05555555555556,120.10349643357141
dow,목,288,10.423827304308475,16.956611284270203,2.1539967370391255,22.479236886368426,0.5868055555555556,0.14583333333333334,123.06944444444444,120.91544770740535
dow,수,311,18.163288575360664,32.38847506805719,-5.47892520304181,55.88826411626276,0.5273311897106109,0.1157556270096463,110.43408360128618,115.91300880432797
dow,월,312,8.976665096457051,12.728229811115927,0.2442289975077787,22.642297780385764,0.5256410256410257,0.13141025641025642,99.75641025641026,99.51218125890247
dow,일,324,1.892285496598101,2.966013014844951,-0.4925231537271165,4.313769088753171,0.5185185185185185,0.0,22.85185185185185,23.344375005578968
dow,토,305,4.456869268470053,6.656277337541862,-0.7387016190154235,10.33211690787849,0.40327868852459015,0.0,42.2983606557377,43.03706227475313
dow,화,264,8.833638155945017,12.51583664675817,1.912699474076375,20.474215882942165,0.5492424242424242,0.12878787878787878,124.12878787878788,122.21608840471151
hour,00시,87,5.019721869169194,7.8502834066656595,-0.45973492408602595,10.268699844567633,0.5057471264367817,0.0,51.310344827586206,51.77007975167223
hour,01시,87,5.799376732323163,10.189066006656281,-1.424968499021958,11.299870869793372,0.4482758620689655,0.0,71.58620689655173,73.0111753955737
hour,02시,87,6.0725716007819095,10.261404462542284,-0.4644777743088125,11.177761063989811,0.5517241379310345,0.0,74.44827586206897,74.91275363637779
hour,03시,87,5.7342047502258,10.094033658885444,-1.998513460001926,9.946966283787257,0.42528735632183906,0.0,71.64367816091954,73.64219162092147
hour,04시,87,6.419897324753202,10.620656456608785,-0.8732937428649357,11.967723859054496,0.5517241379310345,0.0,73.45977011494253,74.33306385780746
hour,05시,87,6.702760234690863,11.030285625301664,-3.3388997174724646,12.229459157197043,0.40229885057471265,0.0,64.14942528735632,67.48832500482881
hour,06시,87,7.367189310361061,11.965027757304359,-2.3275928911521295,14.151028151878661,0.42528735632183906,0.0,73.65517241379311,75.98276530494525
