model,fset,clone,MAE,RMSE,peakMAE,n,group,part
baseline_lag24,-,keep,42.68981481481482,67.8740095532856,43.24271844660194,648.0,고유일,2021-07
baseline_요일x시간 평균,-,keep,24.83667616334283,30.62066262480527,39.39634055265123,648.0,고유일,2021-07
baseline_전체 평균,-,keep,52.832233476570494,60.593498114001626,90.86458947951868,648.0,고유일,2021-07
ensemble,full,down,11.171787040261806,15.545629780107594,20.497071924460798,648.0,고유일,2021-07
ensemble,full,drop,12.939100418478043,18.183424350111846,27.927693426666867,648.0,고유일,2021-07
ensemble,full,keep,11.050786728547529,15.556660433428963,20.57692237918857,648.0,고유일,2021-07
ensemble,no_plan,down,10.529522667850086,15.20431804263916,24.332478278828972,648.0,고유일,2021-07
ensemble,no_plan,drop,25.45791291526259,33.70069904358691,44.34441970099043,648.0,고유일,2021-07
ensemble,no_plan,keep,9.613871549033492,13.54689434900527,21.435688015806342,648.0,고유일,2021-07
lgbm,full,down,12.41757418204008,19.011155672997297,24.465465669379853,648.0,고유일,2021-07
lgbm,full,drop,13.085416857479736,18.432365097955586,26.906084334035828,648.0,고유일,2021-07
lgbm,full,keep,11.791075147576109,18.080365499045197,23.927376566043428,648.0,고유일,2021-07
lgbm,no_plan,down,12.127934901499966,19.216102046850875,26.95195828570673,648.0,고유일,2021-07
lgbm,no_plan,drop,23.608351525456957,32.63985984784757,47.30116917420495,648.0,고유일,2021-07
lgbm,no_plan,keep,11.20171691585592,17.04891900147545,24.085847856237358,648.0,고유일,2021-07
ridge,full,down,13.852879406525153,16.667034130824707,13.055695629491474,648.0,고유일,2021-07
ridge,full,drop,19.25095444814508,25.709614642291562,38.843894385245335,648.0,고유일,2021-07
ridge,full,keep,14.165304140825016,17.05715453373738,9.413657276961613,648.0,고유일,2021-07
ridge,no_plan,down,12.167489977030941,15.063911744348628,20.68726180179954,648.0,고유일,2021-07
ridge,no_plan,drop,25.45791291526259,33.70069904358691,44.34441970099043,648.0,고유일,2021-07
ridge,no_plan,keep,11.528204725376128,14.493917737048722,17.864043205775683,648.0,고유일,2021-07
baseline_lag168,-,keep,42.93103448275862,71.2764506256667,96.80701754385964,725.0,고유일,2021-08
baseline_lag24,-,keep,27.467586206896552,53.18960230255015,43.75438596491228,725.0,고유일,2021-08
baseline_요일x시간 평균,-,keep,33.07420597598865,46.1710780519916,33.7426211059722,725.0,고유일,2021-08
baseline_전체 평균,-,keep,54.842733442802405,61.643748119588395,90.12151211361738,725.0,고유일,2021-08
ensemble,full,down,15.658352468228017,23.61121247404539,10.374415154616797,725.0,고유일,2021-08
ensemble,full,drop,27.385307381967923,43.35471851981096,24.175788058821514,725.0,고유일,2021-08
ensemble,full,keep,13.360389591745069,21.961285105021446,12.44140106880461,725.0,고유일,2021-08
ensemble,no_plan,down,15.201307165867263,23.97673372046493,21.066792220781085,725.0,고유일,2021-08
ensemble,no_plan,drop,30.253427976580348,41.79086345221855,37.228269765305406,725.0,고유일,2021-08
ensemble,no_plan,keep,14.836442008720498,23.350555489413892,23.49818101917531,725.0,고유일,2021-08
lgbm,full,down,16.723839252123614,25.55803158093973,9.323753950212891,725.0,고유일,2021-08
lgbm,full,drop,28.24083507306869,45.19926227839738,24.159611056418264,725.0,고유일,2021-08
lgbm,full,keep,13.62276670701944,22.687370587747157,11.370297311472491,725.0,고유일,2021-08
lgbm,no_plan,down,15.312996528429077,24.41119268298351,15.348110073371156,725.0,고유일,2021-08
lgbm,no_plan,drop,46.53162297909241,66.62151866263373,77.17145188403795,725.0,고유일,2021-08
lgbm,no_plan,keep,15.299210623400837,25.0170842884246,17.8863626496083,725.0,고유일,2021-08
ridge,full,down,20.323089519899906,26.246992577285674,16.052696708507266,725.0,고유일,2021-08
ridge,full,drop,23.78058063414681,31.251738536878158,29.846246779851842,725.0,고유일,2021-08
ridge,full,keep,20.5199144624266,26.472813564526138,17.92380341895387,725.0,고유일,2021-08
ridge,no_plan,down,18.29464605541173,26.412582755440276,30.65880419338662,725.0,고유일,2021-08
ridge,no_plan,drop,30.253427976580348,41.79086345221855,37.228269765305406,725.0,고유일,2021-08
ridge,no_plan,keep,17.418571380089986,25.099642915241727,32.51525677600135,725.0,고유일,2021-08
baseline_lag168,-,keep,11.620567375886525,24.925918607740744,14.489583333333334,1128.0,복제일,개발 합산
baseline_lag24,-,keep,38.48936170212766,62.14212433624454,56.614583333333336,1128.0,복제일,개발 합산
baseline_요일x시간 평균,-,keep,28.223045036014373,34.47321129729722,41.414318524612646,1128.0,복제일,개발 합산
baseline_전체 평균,-,keep,48.69951126052384,55.906725760885244,89.36740578313152,1128.0,복제일,개발 합산
ensemble,full,down,11.465037116812306,17.551215497486453,21.011448980411064,1128.0,복제일,개발 합산
ensemble,full,drop,21.586225805930432,31.783324553669267,28.388526224288512,1128.0,복제일,개발 합산
ensemble,full,keep,11.315642471244944,17.23426991162596,20.62645884447596,1128.0,복제일,개발 합산
ensemble,no_plan,down,14.567428373041302,21.17822411224098,26.27899319343646,1128.0,복제일,개발 합산
ensemble,no_plan,drop,31.718710847204097,42.11383690727564,41.505290203846215,1128.0,복제일,개발 합산
ensemble,no_plan,keep,14.639731222362563,20.83142066015772,25.4866391064101,1128.0,복제일,개발 합산
lgbm,full,down,12.677588834873823,19.485487256418903,24.97648752991879,1128.0,복제일,개발 합산
lgbm,full,drop,20.952628900132524,30.528593150243726,29.81782342117474,1128.0,복제일,개발 합산
lgbm,full,keep,12.61947646338313,18.838381286355844,23.478136987623163,1128.0,복제일,개발 합산
lgbm,no_plan,down,16.452566417778375,24.471562028268504,29.893235513687443,1128.0,복제일,개발 합산
lgbm,no_plan,drop,32.20337395822713,42.99484766907237,45.5258354704171,1128.0,복제일,개발 합산
lgbm,no_plan,keep,17.124041894200616,25.733646784748892,30.739894834304327,1128.0,복제일,개발 합산
ridge,full,down,14.961709511469675,19.812501501703345,15.665934507396562,1128.0,복제일,개발 합산
ridge,full,drop,77.3270607470999,135.79643969166986,53.161557064858336,1128.0,복제일,개발 합산
ridge,full,keep,14.831063522982248,19.64716955766064,13.53385071533633,1128.0,복제일,개발 합산
ridge,no_plan,down,15.037314314533168,20.366604635975882,21.156593672430414,1128.0,복제일,개발 합산
ridge,no_plan,drop,31.718710847204097,42.11383690727564,41.505290203846215,1128.0,복제일,개발 합산
ridge,no_plan,keep,14.091148406090111,19.110816223367223,17.99262496176167,1128.0,복제일,개발 합산
baseline_lag168,-,keep,19.147058823529413,39.170316892899855,29.0,408.0,복제일,2021-05
baseline_lag24,-,keep,46.634803921568626,68.57279300988453,106.0,408.0,복제일,2021-05
baseline_요일x시간 평균,-,keep,28.128668460848388,35.73649328633025,26.313725490196077,408.0,복제일,2021-05
baseline_전체 평균,-,keep,49.180422794117646,56.011036896361155,85.71145833333335,408.0,복제일,2021-05
ensemble,full,down,14.538938552595113,22.0526103306929,28.538250496323283,408.0,복제일,2021-05
ensemble,full,drop,31.966015697253926,42.897842766898464,18.49043280566449,408.0,복제일,2021-05
